"","Otu000001","Otu000002","Otu000003","Otu000004","Otu000005","Otu000006","Otu000007","Otu000008","Otu000009","Otu000010","Otu000011","Otu000012","Otu000013","Otu000014","Otu000015","Otu000016","Otu000017","Otu000018","Otu000019","Otu000020","Otu000021","Otu000022","Otu000023","Otu000024","Otu000026","Otu000027","Otu000028","Otu000029","Otu000030","Otu000031","Otu000032","Otu000033","Otu000035","Otu000036","Otu000037","Otu000038","Otu000039","Otu000040","Otu000042","Otu000044","Otu000045","Otu000046","Otu000047","Otu000049","Otu000050","Otu000051","Otu000052","Otu000058","Otu000060","Otu000061","Otu000062","Otu000063","Otu000064","Otu000065","Otu000066","Otu000068","Otu000070","Otu000074","Otu000075","Otu000077","Otu000080","Otu000081","Otu000082","Otu000084","Otu000086","Otu000087","Otu000088","Otu000092","Otu000094","Otu000095","Otu000097","Otu000098","Otu000102","Otu000103","Otu000107","Otu000112","Otu000113","Otu000114","Otu000115","Otu000117","Otu000118","Otu000119","Otu000122","Otu000125","Otu000126","Otu000132","Otu000133","Otu000138","Otu000140","Otu000142","Otu000143","Otu000145","Otu000146","Otu000150","Otu000152","Otu000160","Otu000162","Otu000164","Otu000166","Otu000168","Otu000176","Otu000177","Otu000179","Otu000181","Otu000190","Otu000203","Otu000216","Otu000218","Otu000235","Otu000238","Otu000250","Otu000322","Otu000057","Otu000105","Otu000264","Otu000281","Otu000310"
"1",347,255,267,220,247,680,217,99,97,251,218,562,170,417,1,188,491,386,234,48,276,191,63,80,111,45,11,153,299,234,1,17,62,0,17,64,96,576,109,13,26,2,50,19,13,31,5,0,5,14,29,40,0,25,2,7,3,20,4,16,6,29,1,4,90,0,8,2,39,38,1,25,25,6,0,2,28,17,0,0,5,67,11,13,14,18,5,2,2,8,33,7,22,4,0,0,0,2,8,0,5,4,8,0,1,4,0,2,2,1,4,1,0,0,0,0,0
"2",559,661,1311,253,104,418,14,179,57,102,194,46,293,75,0,84,370,92,0,10,293,49,160,53,31,11,6,127,11,47,0,440,81,0,170,37,64,379,1,7,13,8,87,69,2,5,129,76,4,5,18,25,0,2,8,35,10,1,56,20,7,17,21,14,10,10,75,0,28,0,0,8,7,10,7,6,5,11,27,0,11,2,11,4,43,0,2,0,0,11,14,8,0,0,0,10,0,2,0,0,0,1,3,3,4,0,1,3,4,2,13,5,0,0,0,0,0
"3",151,222,727,556,347,68,779,670,75,24,195,88,18,5,16,794,170,383,0,106,117,30,0,30,52,7,54,28,35,3,5,68,166,365,0,81,2,36,0,74,103,87,27,14,4,293,4,0,2,43,0,0,76,2,1,1,6,15,9,1,0,6,41,293,1,0,16,31,0,0,6,49,6,44,2,4,31,61,8,4,20,10,14,0,12,0,31,3,12,0,0,28,0,19,1,66,0,5,8,20,0,24,0,13,10,76,0,12,2,0,11,9,0,3,0,0,1
"4",286,203,29,243,188,251,1183,224,100,240,81,253,42,23,1,68,60,112,144,33,169,58,263,212,61,24,2,15,12,56,1,30,62,11,86,35,3,240,0,151,29,0,36,23,2,151,39,0,2,15,21,8,323,3,4,3,13,1,20,8,30,1,0,12,76,8,1,1,15,3,29,2,14,7,2,4,0,3,13,5,1,2,4,3,18,58,3,0,4,4,9,4,4,1,8,2,0,0,0,0,3,2,1,8,1,9,2,5,7,3,0,2,93,0,2,0,0
"5",1312,5,185,572,1028,519,0,706,290,488,0,2,18,267,682,17,0,2,1,15,1,2,0,1,1,104,2,109,0,14,88,2,539,10,121,0,0,1,97,0,4,29,5,0,10,1,2,1,2,23,170,0,0,0,0,20,107,6,0,0,6,3,86,6,0,19,0,108,1,1,2,52,0,100,0,0,0,0,0,65,19,73,0,0,0,0,8,4,0,0,0,0,0,13,0,1,8,7,0,0,6,16,16,0,0,1,0,12,4,3,0,0,0,0,0,0,0
"6",154,484,701,5,577,510,229,181,137,143,254,45,112,400,143,113,647,1511,142,100,130,140,265,17,73,14,0,33,112,285,1,20,81,7,47,77,97,52,0,8,1,5,46,5,7,137,67,19,3,7,11,99,2,25,23,35,19,27,22,63,13,0,0,6,37,3,11,17,48,16,0,9,12,6,0,2,1,11,1,7,34,1,4,5,39,1,0,0,0,2,4,5,2,3,9,5,0,2,0,0,1,0,1,1,3,0,1,1,2,0,3,0,0,0,0,0,0
"7",98,39,110,344,1074,156,177,66,50,122,229,105,42,238,34,475,11,13,45,6,26,59,0,392,115,65,8,103,27,114,1,0,44,26,5,5,0,12,66,6,21,2,13,29,0,13,0,1,10,17,37,12,367,9,7,50,10,8,8,4,12,172,0,5,50,0,37,0,1,1,1,0,14,0,0,1,0,4,48,7,2,0,0,13,18,15,0,1,1,28,2,2,6,0,0,0,0,0,0,0,0,0,0,11,2,0,9,0,0,4,0,1,458,64,0,0,0
"8",327,131,120,12,297,94,122,679,345,549,266,76,180,211,1577,128,63,0,229,21,288,114,5,84,106,155,0,116,25,16,0,27,0,2,30,84,58,37,12,171,8,0,11,5,1,0,10,1,20,35,27,5,1,61,5,10,31,4,4,4,1,3,5,11,9,0,4,211,4,43,0,0,13,6,0,1,22,2,13,5,1,4,0,17,0,18,0,1,0,17,6,0,17,12,5,5,0,2,0,0,9,0,5,2,2,4,2,0,0,7,6,0,0,0,0,0,0
"9",232,248,939,122,214,239,872,308,11,115,362,219,156,107,60,108,357,720,0,3,228,1,0,0,1,34,3,65,52,3,31,0,449,72,63,33,10,91,9,72,77,97,8,94,38,0,47,0,0,3,7,21,41,10,0,4,0,0,0,97,0,0,5,2,0,0,2,0,0,4,0,18,0,4,1,10,0,5,7,7,0,17,28,2,12,70,98,1,10,1,0,1,1,3,2,13,0,5,1,53,4,2,0,21,21,7,2,17,0,1,4,3,0,0,0,0,0
"10",1579,80,126,266,525,25,25,442,118,39,812,39,274,48,230,111,13,2,40,1518,128,234,30,1,48,10,219,0,6,0,34,65,78,27,5,34,0,8,0,6,51,2,11,12,32,1,37,0,0,3,14,0,3,0,11,44,6,106,0,2,6,2,0,0,0,6,4,238,0,1,1,5,1,4,0,0,24,0,0,20,0,8,3,3,0,0,0,2,0,0,0,16,0,2,1,0,14,0,37,4,0,1,1,3,1,2,0,2,1,0,0,1,109,0,0,1,0
"11",797,670,0,1598,333,517,0,274,257,231,182,0,277,232,0,189,0,0,0,78,63,278,0,175,140,67,0,145,0,5,0,399,0,83,106,98,170,0,0,301,0,38,202,0,6,2,0,8,28,7,26,0,0,0,25,149,29,9,0,0,6,0,0,1,66,3,203,1,0,39,0,0,56,7,18,2,0,0,21,0,4,5,0,62,0,0,1,1,0,47,0,2,0,31,6,27,3,24,14,3,13,0,0,0,16,1,0,0,2,7,0,0,0,0,0,0,0
"12",1318,453,394,82,160,229,106,418,56,346,348,34,140,19,798,2,650,1263,1,76,89,5,229,7,274,148,1,22,96,142,342,32,76,36,6,15,26,65,4,0,13,9,21,3,13,112,14,8,2,13,46,97,1,11,18,35,1,12,10,40,0,51,6,6,17,13,14,4,17,1,0,17,6,60,29,0,34,11,1,8,20,6,0,1,31,2,3,0,5,0,4,3,0,9,15,0,11,0,2,0,9,0,3,6,0,6,0,0,1,0,3,3,0,0,2,0,0
"13",198,167,215,56,159,459,146,170,216,177,183,45,166,93,2,51,267,37,4,20,0,22,0,40,115,8,3,20,81,0,2,1230,82,84,92,82,0,110,1,1,22,43,165,35,2,0,56,1065,15,12,32,38,46,0,355,95,72,36,28,48,24,0,0,1,27,0,24,0,8,0,0,13,15,24,0,5,0,0,25,4,23,3,10,0,45,15,7,6,1,0,2,6,13,1,1,51,0,0,18,0,2,0,5,1,0,0,1,1,16,2,8,2,53,0,0,1,0
"14",71,244,367,1150,75,304,130,83,52,44,107,74,32,66,225,49,386,612,104,32,91,27,816,399,48,19,0,138,137,71,0,20,101,1,4,28,68,528,0,11,5,3,59,4,6,106,26,1,3,4,16,76,18,31,7,8,10,4,8,188,0,0,0,6,55,0,45,10,29,16,1,1,10,38,0,14,11,1,14,23,20,3,6,5,57,0,2,0,0,5,16,2,1,2,0,1,0,0,0,2,0,0,1,6,0,2,2,0,20,1,3,0,0,0,0,0,0
"15",91,324,514,859,376,188,149,18,89,24,572,39,67,53,13,37,251,461,85,20,70,14,94,125,36,37,3,53,134,63,0,127,285,0,16,30,101,47,8,59,1,13,88,41,8,203,106,8,4,23,14,62,5,27,7,29,15,2,13,70,37,10,4,2,26,1,15,6,31,2,0,8,6,12,0,39,1,6,5,4,37,0,4,5,84,113,0,1,3,4,21,3,2,3,0,63,1,0,0,0,0,0,0,3,2,1,0,1,15,1,6,0,0,0,0,0,0
"16",1542,11,20,25,553,278,1,348,651,226,98,32,65,107,119,252,7,0,575,8,57,259,3,102,327,92,13,57,3,158,24,2,1,30,0,107,0,3,1021,20,7,2,20,0,0,3,97,0,25,28,77,0,2,95,45,40,15,1,19,21,2,152,0,67,6,0,2,27,2,55,0,0,62,3,2,0,0,6,76,0,0,2,3,24,0,0,1,0,1,6,5,3,9,0,0,0,0,0,3,0,1,0,8,2,2,2,41,0,1,20,0,2,0,0,0,1,0
"17",378,547,349,915,378,120,317,111,252,175,1012,28,109,176,0,105,454,1094,2,128,94,33,172,63,98,15,6,196,217,142,1,133,132,30,27,29,82,17,2,0,40,21,23,7,7,89,15,6,8,6,50,91,1,18,18,35,11,25,57,41,27,0,0,6,29,1,8,3,25,3,0,8,15,1,0,5,0,7,24,2,24,6,4,4,26,4,2,4,2,3,1,2,11,14,11,0,4,2,0,2,9,6,7,5,0,28,0,1,0,0,3,1,0,0,1,0,0
"18",735,489,542,124,748,497,448,223,172,293,457,112,51,137,174,181,486,744,163,138,162,88,244,68,50,12,60,197,67,98,0,49,59,2,29,70,77,20,0,18,57,23,20,9,54,166,37,3,35,21,29,85,0,4,10,14,42,5,43,50,8,0,0,9,27,0,14,17,22,1,0,1,14,2,0,3,25,13,9,15,25,5,31,6,12,3,0,0,1,13,3,4,13,11,6,0,2,0,0,1,8,0,3,0,8,1,0,1,2,6,10,0,0,0,0,0,0
