"","AM.AD.1","AM.AD.2","AM.F10.T1","AM.F10.T2","DA.AD.1","DA.AD.1T","DA.AD.2","DA.AD.3","DA.AD.3T","DA.AD.4","ES.AD.1","ES.AD.2","ES.AD.3","ES.AD.4","FR.AD.1","FR.AD.2","FR.AD.3","FR.AD.4","FR.AD.5","FR.AD.6","FR.AD.7","FR.AD.8","IT.AD.1","IT.AD.2","IT.AD.3","IT.AD.4","IT.AD.5","IT.AD.6","JP.AD.1","JP.AD.2","JP.AD.3","JP.AD.4","JP.AD.5","JP.AD.6","JP.AD.7","JP.AD.8","JP.AD.9","JP.IN.1","JP.IN.2","JP.IN.3","JP.IN.4","MH0001","MH0002","MH0003","MH0004","MH0005","MH0006","MH0007","MH0008","MH0009","MH0010","MH0011","MH0012","MH0013","MH0014","MH0015","MH0016","MH0017","MH0018","MH0019","MH0020","MH0021","MH0022","MH0023","MH0024","MH0025","MH0026","MH0027","MH0028","MH0030","MH0031","MH0032","MH0033","MH0034","MH0035","MH0036","MH0037","MH0038","MH0039","MH0040","MH0041","MH0042","MH0043","MH0044","MH0045","MH0046","MH0047","MH0048","MH0049","MH0050","MH0051","MH0052","MH0053","MH0054","MH0055","MH0056","MH0057","MH0058","MH0059","MH0060","MH0061","MH0062","MH0063","MH0064","MH0065","MH0066","MH0067","MH0068","MH0069","MH0070","MH0071","MH0072","MH0073","MH0074","MH0075","MH0076","MH0077","MH0078","MH0079","MH0080","MH0081","MH0082","MH0083","MH0084","MH0085","MH0086","TS1_V2","TS10_V2","TS100_V2","TS101.2_V2","TS103_V2","TS104_V2","TS105_V2","TS106_V2","TS107_V2","TS109_V2","TS11_V2","TS110_V2","TS111_V2","TS115_V2","TS116_V2","TS117_V2","TS118_V2","TS119_V2","TS12_V2","TS120_V2","TS124_V2","TS125_V2","TS126_V2","TS127_V2","TS128_V2","TS129_V2","TS13_V2","TS130_V2","TS131_V2","TS132_V2","TS133_V2","TS134_V2","TS135_V2","TS136_V2","TS137_V2","TS138_V2","TS139_V2","TS14_V2","TS140_V2","TS141_V2","TS142_V2","TS143_V2","TS144_V2","TS145_V2","TS146_V2","TS147_V2","TS148_V2","TS149_V2","TS15_V2","TS150_V2","TS151_V2","TS152_V2","TS153_V2","TS154.2_V2","TS155_V2","TS156_V2","TS16_V2","TS160_V2","TS161_V2","TS162_V2","TS163_V2","TS164_V2","TS165_V2","TS166_V2","TS167_V2","TS168_V2","TS169_V2","TS17_V2","TS170_V2","TS178_V2","TS179_V2","TS180_V2","TS181_V2","TS182_V2","TS183_V2","TS184_V2","TS185_V2","TS186_V2","TS19_V2","TS190_V2","TS191_V2","TS192_V2","TS193_V2","TS194_V2","TS195_V2","TS2_V2","TS20_V2","TS21_V2","TS22_V2","TS23_V2","TS25_V2","TS26_V2","TS27_V2","TS28_V2","TS29_V2","TS3_V2","TS30_V2","TS31_V2","TS32_V2","TS33_V2","TS34_V2","TS35_V2","TS37_V2","TS38_V2","TS39_V2","TS4_V2","TS43_V2","TS44_V2","TS49_V2","TS5_V2","TS50_V2","TS51_V2","TS55_V2","TS56_V2","TS57_V2","TS6_V2","TS61_V2","TS62_V2","TS63_V2","TS64_V2","TS65_V2","TS66_V2","TS67_V2","TS68_V2","TS69_V2","TS7_V2","TS70_V2","TS71_V2","TS72_V2","TS73_V2","TS74_V2","TS75_V2","TS76_V2","TS77_V2","TS78_V2","TS8_V2","TS82_V2","TS83_V2","TS84_V2","TS85_V2","TS86_V2","TS87_V2","TS88_V2","TS89_V2","TS9_V2","TS90_V2","TS91_V2","TS92_V2","TS94_V2","TS95_V2","TS96_V2","TS97_V2","TS98_V2","TS99.2_V2"
"-1",0.42650351,0.33226194,0.48195467,0.38858308,0.53360402,0.62499134,0.634708,0.77980981,0.80526766,0.76409898,0.25166833,0.42712689,0.39126977,0.54793011,0.55142206,0.58294733,0.43972306,0.51493838,0.53477659,0.52810766,0.47944266,0.4619468,0.42361617,0.4887351,0.44199058,0.3581634,0.62080827,0.55810012,0.29351697,0.52700195,0.53048339,0.38604492,0.58345103,0.32948505,0.19526355,0.36281206,0.38732586,0.57703516,0.07864845,0.10810843,0.46189138,0.37860476,0.51787791,0.50413639,0.58007077,0.49812062,0.55940416,0.5625044,0.38164986,0.71631694,0.30497442,0.69298294,0.75889647,0.62922968,0.55805743,0.51687303,0.50015354,0.57744083,0.37728127,0.43739043,0.40644117,0.5912231,0.69771399,0.54231474,0.5613491,0.58324279,0.56148701,0.45485245,0.60185299,0.7306997,0.71175444,0.45990992,0.53499578,0.43339972,0.61245792,0.61094406,0.58055869,0.59285796,0.52220179,0.63694423,0.44219364,0.63344538,0.5707017,0.46651507,0.51904956,0.60077913,0.78970995,0.62827185,0.53341235,0.57105581,0.5401487,0.68773231,0.68153439,0.62754722,0.61160465,0.61666916,0.61530097,0.54539561,0.56523763,0.72112065,0.47129478,0.53332152,0.64765017,0.49829921,0.69095188,0.62564545,0.5223187,0.37025639,0.54409784,0.69421871,0.62819709,0.32884138,0.44286262,0.54470033,0.53780664,0.61142889,0.55656512,0.56764612,0.74944613,0.48161081,0.6173375,0.52489612,0.56737202,0.42174684,0.36563377,0.50397605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria",0,0,0,0,0,0,1.328e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03e-05,1.641e-05,1.901e-05,9.126e-05,5.358e-05,3.914e-05,8.113e-05,3.915e-05,2.799e-05,4.813e-05,3.741e-05,2.627e-05,0.00013341,2.052e-05,7.719e-05,2.366e-05,7.576e-05,4.345e-05,8.051e-05,1.864e-05,5.172e-05,0.00017933,6.541e-05,3.142e-05,3.601e-05,2.263e-05,6.08e-05,4.638e-05,5.128e-05,4.5e-05,2.157e-05,3.086e-05,1.696e-05,3.788e-05,4.242e-05,3.741e-05,9.336e-05,3.313e-05,3.456e-05,1.464e-05,5.463e-05,4.095e-05,1.469e-05,2.148e-05,2.189e-05,0.00137687,6.087e-05,7.52e-06,3.908e-05,3.325e-05,1.116e-05,3.708e-05,3.849e-05,3.278e-05,4.185e-05,2.573e-05,3.277e-05,2.881e-05,3.873e-05,2.045e-05,2.089e-05,2.733e-05,1.71e-05,4.225e-05,3.462e-05,3.716e-05,1.539e-05,2.782e-05,2.595e-05,3.379e-05,1.83e-05,1.129e-05,2.85e-05,3.312e-05,2.465e-05,3.064e-05,5.2e-06,3.319e-05,3.293e-05,3.705e-05,2.855e-05,2.256e-05,1.808e-05,1.838e-05,2.898e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prosthecochloris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.015e-05,0,0,0,0,0,0,0,0,0,0,2.018e-05,3.82e-06,5.2e-06,1.869e-05,2.018e-05,1.283e-05,1.483e-05,9.73e-06,9.95e-06,6.52e-06,9.87e-06,1.257e-05,2.057e-05,5.7e-06,2.019e-05,6.4e-06,2.571e-05,1.446e-05,2.925e-05,5.75e-06,4.91e-06,3.71e-05,2.093e-05,6.88e-06,6.1e-06,8.2e-06,1.439e-05,5.79e-06,1.196e-05,8.01e-06,7.81e-06,7.28e-06,3.88e-06,7.77e-06,1.403e-05,1.093e-05,1.104e-05,8.96e-06,5.42e-06,3.9e-06,1.06e-05,7.73e-06,5.43e-06,6.2e-06,1.082e-05,6.3e-06,1.125e-05,3.9e-06,1.217e-05,6.97e-06,3.13e-06,1.004e-05,9.53e-06,1.136e-05,8.35e-06,7.98e-06,6.59e-06,7.22e-06,8.91e-06,3.68e-06,9.07e-06,6.15e-06,4.31e-06,7.07e-06,8.87e-06,3.4e-06,7.67e-06,5.76e-06,5.15e-06,1.379e-05,4.49e-06,2.67e-06,9.05e-06,8.3e-06,4.26e-06,6e-06,2.05e-06,6.92e-06,6.03e-06,6.79e-06,5.51e-06,8.9e-06,4.76e-06,4.35e-06,5.1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloroflexus",0,0,0,0,0,8.1e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205e-05,1.256e-05,1.943e-05,6.013e-05,4.825e-05,3.309e-05,6.543e-05,3.091e-05,2.506e-05,2.335e-05,2.329e-05,3.551e-05,6.303e-05,2.119e-05,6.109e-05,1.172e-05,6.105e-05,1.941e-05,5.277e-05,1.364e-05,1.665e-05,9.779e-05,5.527e-05,1.901e-05,1.894e-05,2.039e-05,5.376e-05,1.397e-05,3.096e-05,2.62e-05,1.37e-05,2.404e-05,8.29e-06,2.64e-05,4.149e-05,4.207e-05,3.974e-05,3.416e-05,2.225e-05,1.242e-05,3.221e-05,2.675e-05,1.425e-05,1.396e-05,2.906e-05,1.994e-05,4.363e-05,9.79e-06,3.528e-05,3.033e-05,1.157e-05,4.138e-05,5.063e-05,2.586e-05,3.495e-05,1.859e-05,2.95e-05,2.217e-05,3.5e-05,1.114e-05,2.383e-05,1.92e-05,1.178e-05,2.335e-05,4.301e-05,6.85e-06,1.482e-05,1.524e-05,1.099e-05,2.861e-05,9.98e-06,8.49e-06,2.836e-05,2.354e-05,1.829e-05,1.782e-05,4.53e-06,2.319e-05,1.739e-05,2.011e-05,1.585e-05,3.132e-05,8.82e-06,1.465e-05,2.054e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dehalococcoides",0,0.00026835,9.59e-06,0,0,0,2.03e-05,0,0,8.728e-05,4.637e-05,0,0,6.032e-05,0,0,4.266e-05,5.681e-05,3.315e-05,3.614e-05,0,3.769e-05,0.00113611,0,3.959e-05,0,0,0.00011117,0,0,0.00011227,0,0,0,0,0,0,0,0,0,0,5.881e-05,9.36e-05,5.934e-05,9.446e-05,6.34e-05,5.799e-05,0.00012048,5.874e-05,5.025e-05,4.654e-05,6.414e-05,6.573e-05,0.00018047,3.644e-05,0.00010554,3.227e-05,0.00010958,3.266e-05,9.441e-05,4.228e-05,5.01e-05,0.00029381,0.00013753,3.744e-05,4.739e-05,0.00011573,0.0001044,6.179e-05,9.901e-05,5.861e-05,3.965e-05,5.154e-05,1.888e-05,5.27e-05,7.61e-05,5.935e-05,7.116e-05,5.389e-05,6.47e-05,3.07e-05,8.424e-05,4.613e-05,3.243e-05,4.157e-05,3.716e-05,2.931e-05,6.598e-05,1.508e-05,7.652e-05,0.00013569,3.835e-05,5.91e-05,7.279e-05,4.737e-05,7.816e-05,4.634e-05,5.954e-05,8.54e-05,6.568e-05,3.555e-05,0.00015663,4.053e-05,3.206e-05,4.617e-05,3.859e-05,1.957e-05,2.633e-05,8.624e-05,2.777e-05,0.00010535,1.678e-05,1.808e-05,6.16e-05,4.933e-05,5.198e-05,7.876e-05,1.14e-05,8.099e-05,5.763e-05,5.47e-05,6.641e-05,5.036e-05,2.944e-05,3.422e-05,5.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermus",0,0,0,4.24e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.605e-05,3.491e-05,3.695e-05,7.437e-05,4.107e-05,3.335e-05,5.778e-05,3.558e-05,2.73e-05,2.483e-05,3.136e-05,4.297e-05,8.79e-05,2.006e-05,0.00010885,1.434e-05,6.2e-05,1.953e-05,5.534e-05,1.599e-05,1.831e-05,8.936e-05,4.959e-05,2.404e-05,3.627e-05,2.349e-05,5.947e-05,1.874e-05,3.01e-05,3.214e-05,1.738e-05,2.494e-05,5.83e-06,2.079e-05,3.515e-05,5.074e-05,3.25e-05,4.196e-05,3.06e-05,2.274e-05,3.11e-05,3.252e-05,1.638e-05,1.022e-05,3.704e-05,4.712e-05,3.998e-05,1.615e-05,4.385e-05,4.603e-05,2.45e-05,3.881e-05,5.164e-05,2.613e-05,4.887e-05,1.976e-05,3.009e-05,2.758e-05,4.536e-05,1.77e-05,7.383e-05,2.417e-05,1.912e-05,2.93e-05,7.281e-05,1.078e-05,2.814e-05,2.195e-05,1.061e-05,5.709e-05,5.76e-06,1.493e-05,4.25e-05,2.814e-05,2.403e-05,2.335e-05,9.9e-06,2.454e-05,2.098e-05,2.749e-05,2.039e-05,3.729e-05,8.54e-06,1.721e-05,2.818e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeria",0,0,0,0,0,0,0,0,2.43e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.023e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.534e-05,0,0,7.867e-05,2.591e-05,3.943e-05,0.00012837,9.042e-05,6.03e-05,0.00015592,0.00012526,5.18e-05,9.119e-05,5.005e-05,4.164e-05,0.00033774,3.634e-05,0.00014485,4.203e-05,0.00012988,6.662e-05,0.00014325,3.142e-05,4.494e-05,0.00023801,0.00013374,5.416e-05,4.119e-05,7.836e-05,0.00012974,7.433e-05,0.00012452,8.601e-05,4.224e-05,6.347e-05,2.631e-05,8.668e-05,7.583e-05,4.672e-05,0.00012768,6.272e-05,5.656e-05,2.384e-05,8.868e-05,5.462e-05,4.111e-05,5e-05,4.275e-05,1.803e-05,9.765e-05,1.356e-05,5.087e-05,4.106e-05,2.339e-05,7.098e-05,8.285e-05,5.551e-05,6.505e-05,2.201e-05,6.857e-05,6.249e-05,6.922e-05,1.956e-05,2.732e-05,4.832e-05,4.222e-05,0.00011452,4.627e-05,3.978e-05,2.006e-05,5.98e-05,6.44e-05,5.548e-05,3.64e-05,3.137e-05,2.952e-05,5.574e-05,5.377e-05,7.415e-05,1.616e-05,6.993e-05,5.931e-05,8.231e-05,6.382e-05,3.914e-05,2.488e-05,3.827e-05,5.29e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium",0,1.508e-05,0,0,0,3.181e-05,8.52e-06,0,5.8e-06,0,0,0,0,2.181e-05,0,0,3.662e-05,4.468e-05,0,1.551e-05,0,0,0,0,0,4.409e-05,0,0,0,4.689e-05,0,5.281e-05,5.002e-05,0.00011665,0.00623069,2.512e-05,0,0,0,5.202e-05,0,0.00024873,9.372e-05,4.991e-05,0.0004046,0.00032522,0.00018247,0.00049903,0.00052727,0.00017639,0.00033204,0.00022292,0.00011433,0.00151853,9.755e-05,0.00044473,0.00012334,0.0004372,0.00028319,0.00052556,8.763e-05,0.00022385,0.00074992,0.00054464,0.0001645,0.00021078,0.00020858,0.00036049,0.00037758,0.0004197,0.00033237,0.00018443,0.00024438,0.00012203,0.00031979,0.00016368,9.975e-05,0.00036365,0.00016528,0.00019726,0.00012232,0.00023872,0.00018072,0.00012484,0.00015352,0.00011019,7.343e-05,0.00029011,3.72e-05,0.00013976,0.000125,0.00010387,0.00017037,0.00014975,0.00018183,0.00017724,6.366e-05,0.00017274,0.00018643,0.00010553,0.0001419,0.00155081,0.00015276,0.00019879,0.00036407,0.00014623,0.00014722,0.00010773,0.00021148,0.00022738,0.0001195,0.0001305,0.00030853,8.491e-05,0.00023785,0.00026912,0.00024861,8.311e-05,0.00026562,0.00024558,0.00024856,0.00028059,0.00014425,6.541e-05,8.15e-05,0.00014853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.781e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051315,0,0,0,0
"Streptobacillus",0,0,0,4.71e-06,0,0,0,5.138e-05,5.987e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5e-05,0,0,0,2.841e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.472e-05,1.452e-05,3.777e-05,3.948e-05,4.021e-05,2.219e-05,4.037e-05,5.642e-05,2.778e-05,5.464e-05,3.424e-05,3.765e-05,0.00028468,1.374e-05,5.246e-05,1.617e-05,6.213e-05,3.228e-05,6.379e-05,6.14e-06,5.61e-05,0.00010104,7.431e-05,2.63e-05,7.539e-05,2.9e-05,3.685e-05,6.708e-05,8.192e-05,5.576e-05,2.511e-05,4.477e-05,2.116e-05,5.349e-05,1.99e-05,9.36e-06,5.605e-05,1.885e-05,3.879e-05,2.14e-05,3.299e-05,2.764e-05,2.015e-05,2.786e-05,1.145e-05,9.08e-06,4.168e-05,1.177e-05,4.598e-05,1.955e-05,2.19e-05,2.808e-05,2.336e-05,2.522e-05,2.265e-05,4.84e-06,2.389e-05,2.927e-05,2.171e-05,6.07e-06,4.815e-05,2.441e-05,4.884e-05,6.282e-05,2.592e-05,1.826e-05,7.839e-05,3.519e-05,3.926e-05,1.901e-05,6.81e-05,1.187e-05,7.85e-06,4.997e-05,3.631e-05,0.0001411,1.162e-05,5.239e-05,4.159e-05,5.127e-05,6.384e-05,1.953e-05,8.1e-06,9.12e-06,2.108e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacillus",0,0,0,0,0,6.7e-07,2.37e-06,0,2.46e-06,0,0,0,0,0,0,0,0,8.84e-06,0,0,0,0,0,9.56e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.257e-05,8.04e-06,8.62e-06,2.134e-05,1.747e-05,1.492e-05,3.172e-05,1.678e-05,1.218e-05,1.59e-05,1.038e-05,1.148e-05,3.138e-05,9.15e-06,2.853e-05,8.45e-06,2.545e-05,1.026e-05,2.319e-05,5.87e-06,8.91e-06,3.793e-05,2.515e-05,8.33e-06,8.83e-06,1.224e-05,2.419e-05,8.92e-06,1.774e-05,1.171e-05,6.6e-06,1.086e-05,4.23e-06,1.366e-05,1.578e-05,1.442e-05,2.509e-05,1.358e-05,1.211e-05,4.66e-06,1.286e-05,1.111e-05,7.11e-06,9.54e-06,1.087e-05,5.17e-06,1.768e-05,2.44e-06,1.25e-05,9.51e-06,5.9e-06,1.853e-05,1.537e-05,1.066e-05,1.351e-05,4.99e-06,1.418e-05,1.021e-05,1.413e-05,5.72e-06,1.02e-05,8.72e-06,5.35e-06,1.743e-05,1.186e-05,4.78e-06,6.52e-06,9.83e-06,8.97e-06,9.84e-06,6.93e-06,8.87e-06,8.25e-06,1.049e-05,9.2e-06,1.013e-05,3.27e-06,1.228e-05,9.43e-06,1.253e-05,8.87e-06,1.139e-05,5.12e-06,7.26e-06,1.17e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
