"","B","C","D"
"59_8_22",50,19,5
"59_5_13",0,2,0
"59_8_12",2,13,0
"65_3_22",0,2,1
"65_5_1",0,0,1
"65_1_10",0,0,1
"65_7_12",3,2,9
"59_6_1",0,1,0
"65_2_17",6,1,3
"65_9_26",0,0,3
"65_5_18",0,0,1
"65_7_5",0,0,2
"65_8_12",0,0,1
"65_9_1",0,0,3
"59_9_26",0,4,0
"9_6_28",1,0,0
"65_7_4",1,5,1
"65_4_26",0,0,1
"9_2_24",1,0,0
"65_1_17",0,2,1
"65_6_7",0,0,1
"9_4_3",1,0,0
"65_7_18",0,0,1
"65_8_7",2,0,1
"59_4_5",0,3,0
"59_5_2",1,6,2
"65_6_2",2,14,4
"65_4_10",0,4,1
"9_7_25",5,0,2
"9_4_5",2,0,1
"65_1_8",0,1,1
"65_2_5",1,2,1
"59_7_6",37,41,18
"59_9_31",8,7,1
"9_1_7",1,0,0
"9_4_13",1,0,0
"9_6_3",2,0,0
"65_4_5",0,0,1
"59_9_18",3,4,0
"65_9_13",0,2,2
"65_3_18",1,7,1
"65_6_10",0,0,1
"9_7_18",1,0,0
"65_8_25",1,0,1
"59_3_5",0,1,0
"65_8_29",0,0,2
"65_4_20",0,0,1
"59_6_11",0,1,0
"59_9_17",1,1,6
"9_4_6",2,2,2
"59_4_25",1,10,0
"59_3_21",0,8,0
"59_3_19",0,1,0
"59_4_16",0,1,0
"59_8_3",0,4,0
"59_5_19",14,42,10
"65_9_9",0,1,1
"59_2_6",52,41,124
