"","C3016.1","C3002.1","H4044.1","C3004.1","M2034.1","M2061.1","H4042.1","H4035.1","C3034.1","H4014.1","C3006.1","H4023.1","H4019.1","C3017.1","C3030.1","H4007.24","P6009.1","P6005.1","H4001.1","H4008.1","C3023.1","H4018.1","H4004.1","H4010.1","M2039.1","H4022.1","C3022.1","M2028.1","M2008.22","C3015.1","H4031.1","P6012.1","C3003.1","M2064.1","M2068.1","M2041.1","C3027.1","M2075.1","P6018.1","H4004.24","M2084.1","M2028.24","M2025.1","M2047.1","H4006.1","C3005.1","C3029.1"
"Unc00a9i",11,4,9,0,92,6,8,12,25,6,22,4,1,0,38,56,0,11,3,36,4,0,1156,48,16,12,1,6,2,14,16,11,0,27,85,49,0,6,55,3024,1,0,1,0,8,5,20
"Unc05bd1",1940,339,2783,34,5263,1057,7722,5721,2294,3963,1693,3368,520,4961,1,7996,0,226,112,2289,1611,13,2,3317,155,3636,691,2928,2847,1627,5682,912,7,117,7828,3323,221,1887,0,12085,1334,1218,2425,0,21,0,3
"Unc054vi",4788,1118,1342,24,3178,281,122,30,129,8111,36,1305,279,345,5593,523,0,804,12,1389,1180,1937,1,9311,13,1026,598,893,4409,863,1996,1168,1,73,566,2319,11,564,0,9,253,273,470,0,7,3,8034
"Unc01c0q",1686,4,102,0,271,71,165,79,49,182,2,810,411,41,158,73,0,70,66,901,19,0,55,186,0,82,122,71,82,5,902,169,0,163,17,85,0,40,11,2,105,68,112,0,2,0,304
"Unc91005",165,3,392,3,110,430,90,2970,1981,596,632,207,99,1001,1,992,4,4595,27,1440,119,123,1364,529,24,717,231,207,12,1105,2707,387,1,290,159,69,0,9,0,1040,131,242,84,0,0,0,416
"UncG3786",149,21,1484,33,3,10,47,644,342,244,52,8,20,26,2791,36,3,9,387,194,230,3629,7436,11,20,19,9,100,994,101,41,8,1,2006,6,203,21,9,228,494,316,30,0,33,7411,114,3
"UncO8895",0,308,183,0,87,101,365,418,150,217,134,343,131,1148,1026,298,2,54,31,201,174,509,1999,143,8,324,73,149,21,7,232,850,0,60,252,67,0,6,145,996,310,36,39,0,6,20,958
"Unc64172",3845,0,3822,25,14,1420,2117,344,1510,3553,646,2517,3092,2447,3,5367,4,4998,81,1533,8,12,5,755,47,6874,3795,1310,4519,4,2803,4078,0,1387,7402,1016,2,417,0,10,4147,108,2559,15,11,1,2486
"Unc00y95",706,120,227,0,563,348,437,477,66,166,532,1428,502,261,14,704,0,40,0,1663,98,2,106,226,2,2070,253,86,270,0,336,617,1,297,11,29,3,119,0,0,47,41,698,0,0,0,807
"Unc01505",481,4,117,0,63,134,217,66,129,34,149,525,122,21,0,152,0,117,0,596,1,0,4,124,0,370,55,48,769,0,262,360,2,144,31,16,0,43,0,361,55,47,64,0,0,13,228
"UNGROUPED",4711,2262,7819,3371,611,7759,5184,2230,1387,2486,3243,5020,8304,3118,1283,4246,3207,3985,905,1068,5044,440,2265,1619,4386,5344,8243,4551,4230,4193,686,2635,2137,9488,1194,4864,6223,1226,2266,558,10753,8665,4693,8359,292,2216,8713
"1.1.1.157",6,0,10,2,0,19,17,5,3,2,9,7,21,1,0,17,0,16,0,1,5,0,0,1,13,16,7,11,10,0,2,5,9,19,4,4,1,5,0,1,24,13,25,31,0,6,19
"1.1.1.35",6,0,10,2,0,15,17,5,3,2,9,7,21,1,0,17,0,16,0,0,2,0,0,1,13,16,7,11,10,0,2,5,9,18,4,4,1,5,0,1,23,13,25,31,0,6,19
"1.1.1.37",7,9,34,8,4,14,10,18,4,9,6,13,6,10,22,12,26,25,10,3,19,3,19,5,11,16,26,14,5,16,5,6,6,8,4,12,6,3,3,6,10,43,15,5,4,6,27
"1.1.1.58",15,0,4,1,1,13,1,4,1,5,6,2,7,1,0,14,1,7,0,0,5,0,0,0,9,3,18,6,20,4,0,1,2,6,0,0,13,2,1,1,30,8,4,13,0,3,4
"1.15.1.1",3,5,16,5,10,12,5,7,2,6,6,4,0,4,3,3,7,7,9,2,5,1,7,2,3,9,12,6,8,9,1,1,3,2,2,15,2,2,3,3,39,6,4,18,1,6,19
"1.16.3.2",12,6,24,1,1,13,1,3,0,7,1,1,11,2,9,6,6,11,3,0,1,1,6,4,4,15,7,4,36,15,0,1,1,8,0,23,22,0,1,0,21,31,5,7,0,0,12
"1.2.1.12",1,11,9,10,31,6,13,2,22,6,7,3,5,4,6,3,3,9,4,1,13,1,6,4,1,9,9,4,2,4,0,2,4,7,4,9,1,1,5,3,3,3,6,1,6,6,49
