"","C3016.1","C3002.1","H4044.1","C3004.1","M2034.1","M2061.1","H4042.1","H4035.1","C3034.1","H4014.1","C3006.1","H4023.1","H4019.1","C3017.1","C3030.1","H4007.24","P6009.1","P6005.1","H4001.1","H4008.1","C3023.1","H4018.1","H4004.1","H4010.1","M2039.1","H4022.1","C3022.1","M2028.1","M2008.22","C3015.1","H4031.1","P6012.1","C3003.1","M2064.1","M2068.1","M2041.1","C3027.1","M2075.1","P6018.1","H4004.24","M2084.1","M2028.24","M2025.1","M2047.1","H4006.1","C3005.1","C3029.1"
"K00024",7,9,34,8,4,14,10,18,4,9,6,13,6,10,22,12,26,25,10,3,18,3,19,5,11,16,26,14,5,16,5,5,6,8,4,12,6,3,3,6,10,43,15,5,3,6,27
"K00041",13,0,4,1,1,11,1,4,1,5,6,1,7,1,0,14,1,7,0,0,5,0,0,0,9,3,15,6,18,4,0,1,2,6,0,0,10,2,1,1,28,8,4,13,0,3,4
"K00074",8,0,18,2,0,23,22,5,3,2,9,11,28,2,0,28,0,18,0,3,11,0,1,1,15,26,10,16,12,1,2,9,10,42,5,6,1,5,0,1,34,18,38,37,0,7,32
"K00134",4,11,23,10,31,24,33,2,34,7,10,10,62,10,6,33,9,29,5,1,34,1,6,6,15,17,22,22,9,4,0,11,9,64,6,9,1,2,7,3,41,8,25,30,6,9,76
"K00239",10,12,14,5,5,29,26,8,0,4,4,2,11,4,7,10,7,8,2,1,11,0,4,2,2,15,18,6,2,1,2,1,2,26,2,1,11,2,1,2,20,20,9,8,1,5,21
"K00262",81,13,86,16,1,102,65,22,4,35,46,59,74,17,25,47,31,47,9,25,52,5,22,19,53,60,82,52,70,72,7,27,26,89,24,61,107,11,9,12,127,107,63,98,0,39,109
"K00600",8,0,11,2,4,5,1,5,0,2,1,0,10,0,1,2,1,3,0,4,6,0,2,0,3,5,3,1,6,4,1,0,3,7,3,1,5,2,0,1,7,3,4,6,0,2,5
"K00626",8,1,19,1,0,18,15,5,2,2,8,6,17,5,0,16,18,12,2,0,5,0,1,6,14,20,7,7,9,0,3,4,7,26,3,6,2,5,0,0,21,24,33,24,0,2,31
"K00927",13,0,13,0,2,16,10,5,1,2,7,0,20,0,2,26,0,5,1,4,8,0,0,1,10,18,14,13,10,0,0,4,4,24,4,0,4,4,6,1,38,2,19,28,2,5,33
"K01006",20,1,25,1,0,43,34,10,5,8,12,25,30,7,0,42,3,20,1,9,12,3,3,6,28,24,32,9,34,5,2,7,5,70,1,3,11,4,11,0,77,16,33,61,0,3,63
"K01610",9,7,43,4,4,25,37,21,6,10,3,37,24,18,31,46,93,12,4,3,23,0,7,10,19,28,52,22,24,6,4,12,15,51,4,15,24,13,5,5,72,47,18,21,0,12,50
"K01689",5,0,5,0,9,5,3,9,3,0,1,1,6,0,12,18,3,3,8,0,13,0,0,4,7,12,10,2,11,2,2,0,0,4,4,15,3,0,10,0,20,4,5,4,1,2,21
"K01803",6,17,11,13,4,10,16,7,9,10,3,33,10,25,8,15,15,24,12,0,10,3,10,11,11,12,23,10,12,17,4,15,3,27,1,21,14,6,1,1,11,20,15,21,1,8,18
"K01805",0,15,56,28,2,9,5,1,16,26,16,28,9,23,4,9,13,29,10,0,23,0,6,18,17,20,23,17,35,30,0,0,8,16,14,64,6,0,0,0,14,43,18,8,0,5,23
"K01810",9,0,16,0,2,10,13,3,4,4,7,2,18,3,2,4,0,10,4,1,8,0,0,1,8,10,6,3,14,3,3,12,4,8,0,3,6,2,0,0,24,11,6,15,1,0,22
"K01812",0,18,7,27,16,5,13,0,10,6,8,20,2,22,1,1,17,15,7,0,8,0,3,15,9,10,9,15,9,4,0,18,0,2,3,27,1,0,2,0,1,25,8,1,0,2,11
"K01939",14,0,14,2,4,15,5,8,0,2,5,5,12,0,6,17,1,2,1,1,19,1,1,0,7,18,15,10,5,5,1,3,6,10,3,0,8,5,0,2,34,12,9,16,0,5,21
"K02355",27,1,49,0,6,62,22,11,2,7,9,10,55,5,10,44,2,13,3,5,25,2,3,0,22,35,30,20,20,9,10,6,15,45,8,4,31,13,8,4,90,28,41,52,4,12,62
"K02357",21,0,15,0,2,15,6,13,0,4,4,6,11,0,3,17,0,9,1,4,5,0,0,0,4,10,16,7,14,10,6,2,5,7,3,1,18,8,0,1,33,14,9,16,2,8,11
"K02358",44,1,143,1,12,123,67,28,3,17,6,25,119,4,33,85,0,18,6,5,74,0,2,2,20,33,49,34,33,10,7,13,17,187,7,5,39,16,34,4,178,81,75,110,3,11,89
"K02863",5,0,15,0,3,7,7,3,2,3,2,8,9,3,3,8,2,4,0,2,14,0,3,1,7,9,10,4,9,13,0,4,7,11,4,2,10,2,5,2,24,17,11,21,1,10,14
"K02867",12,0,16,1,8,15,8,10,0,7,7,10,13,0,11,11,3,14,6,11,11,1,4,0,7,16,11,14,7,5,2,5,10,14,5,6,14,3,7,9,17,15,16,18,4,7,21
"K02878",2,0,5,0,6,5,4,6,3,3,2,2,9,0,5,4,0,8,1,0,3,0,1,1,4,10,6,5,6,4,2,4,3,3,2,0,0,1,7,1,5,6,5,12,1,0,8
"K02879",6,0,8,2,1,10,3,5,0,1,0,3,5,1,3,6,0,3,0,5,6,0,1,0,0,6,2,6,2,4,5,0,8,5,5,0,2,5,1,2,8,7,8,10,2,7,4
"K02881",7,1,6,1,0,4,7,3,0,1,7,4,8,1,0,2,0,10,0,5,3,0,1,0,5,6,6,2,5,5,2,4,5,4,3,0,7,2,0,3,10,3,2,10,0,1,5
"K02886",4,0,12,1,3,4,3,7,0,1,1,0,12,0,2,13,1,4,0,0,7,0,1,0,2,8,0,4,2,2,1,1,8,17,3,0,0,2,5,2,13,7,10,14,2,3,20
"K02890",5,0,7,0,1,3,4,5,0,1,0,3,7,1,3,3,2,3,1,5,8,0,2,1,0,8,3,2,3,3,4,0,6,8,2,1,6,1,3,3,2,4,3,5,0,4,4
"K02931",14,0,16,1,3,19,8,6,4,5,4,11,17,2,0,13,2,13,0,8,5,2,2,3,8,13,10,4,8,6,3,3,9,11,8,2,15,3,3,4,30,12,8,18,0,6,7
"K02935",10,0,14,0,1,15,12,6,0,2,1,6,29,0,1,6,1,4,1,1,17,0,0,0,3,8,13,3,9,2,7,2,1,30,3,0,3,6,0,0,30,6,6,18,2,7,3
"K02982",11,0,18,0,2,7,6,2,0,6,9,15,11,1,0,5,2,13,0,1,3,0,2,0,16,5,11,9,10,7,0,9,3,10,3,0,11,0,4,0,14,9,9,21,1,3,15
"K02986",5,0,18,0,3,13,12,6,1,3,1,4,12,2,5,9,1,5,0,2,6,0,1,1,2,11,7,1,10,0,2,1,5,18,2,0,4,2,3,3,23,5,5,12,3,1,18
"K02992",9,0,21,0,0,36,8,6,0,1,1,8,31,0,3,26,0,3,0,2,13,0,1,0,2,15,5,11,6,1,3,2,12,30,7,1,6,4,4,0,32,13,14,35,0,1,13
"K02994",6,1,9,0,0,23,10,7,0,2,2,4,15,1,3,13,0,10,2,4,15,1,2,0,5,9,3,8,7,4,2,3,6,14,4,1,3,2,2,3,12,7,9,17,0,7,9
"K02996",7,1,18,2,1,6,7,6,3,2,5,7,11,3,2,5,2,17,1,1,7,1,1,1,7,9,6,9,12,4,1,8,5,11,7,1,8,1,4,1,15,11,9,21,2,4,9
"K03040",10,0,12,1,0,13,4,2,0,1,2,2,16,0,1,2,1,0,0,2,6,1,0,0,3,7,11,4,11,4,1,1,1,13,1,0,9,1,0,1,18,15,7,9,1,1,5
"K03043",17,0,36,0,1,27,12,8,1,2,2,7,25,1,3,10,0,5,0,5,17,0,0,0,9,20,14,14,13,4,3,3,13,19,2,2,17,4,1,3,62,19,23,33,1,6,27
"K03046",13,0,26,0,3,26,18,6,2,4,1,2,21,1,6,5,1,6,0,0,12,1,1,0,5,14,21,3,14,4,1,3,5,17,1,2,14,3,3,0,44,23,16,34,2,2,22
"K04043",35,2,77,3,4,26,37,23,2,6,7,28,101,4,23,36,7,25,10,7,27,2,6,0,16,43,23,22,52,15,11,5,20,37,11,3,45,14,11,7,98,24,34,58,1,24,73
"K04077",45,1,93,0,5,46,57,15,3,4,9,30,121,1,29,53,0,22,3,6,57,0,1,1,21,31,32,18,70,32,0,8,26,94,2,4,44,3,10,4,99,48,52,83,2,10,92
"K10117",15,4,15,7,0,17,26,4,29,28,20,36,6,24,0,27,28,40,7,0,3,2,2,43,73,16,50,20,14,30,0,44,5,21,3,10,0,0,2,0,14,15,52,27,0,2,35
"K10200",7,0,36,3,0,18,25,6,3,5,3,26,7,17,0,40,29,37,2,0,2,0,0,16,14,12,7,21,9,1,5,19,2,15,4,5,0,0,2,0,38,1,15,18,0,3,58
"K10439",2,5,4,2,1,4,4,0,11,4,0,25,0,11,6,4,6,2,4,0,1,0,5,3,14,7,14,1,5,12,0,21,5,3,0,3,2,0,5,0,2,0,7,2,1,2,13
"K15633",8,0,6,1,1,8,6,2,1,5,7,7,5,2,1,4,8,3,0,1,2,1,2,6,8,5,8,3,6,3,0,6,2,8,2,2,0,1,0,0,16,2,4,8,0,4,11
