"","Bacillus","Klebsiella","Erysipelotrichaceae_incertae_sedis","Varibaculum","Ureibacillus","Eubacterium","Acidovorax","Porphyromonadaceae_unclassified","Parvimonas","Clostridium_IV","Lactobacillales_unclassified","Haemophilus","Firmicutes_unclassified","Peptostreptococcus","Bifidobacterium","Burkholderiales_unclassified","Lactobacillaceae_unclassified","Methylobacteriaceae_unclassified","Rothia","Coriobacteriaceae_unclassified","Lysinibacillus","Faecalibacterium","Gemmiger","Sphingomonadaceae_unclassified","Brachyspira","Clostridia_unclassified","Actinomycetales_unclassified","Collinsella","Flavonifractor","Bifidobacteriaceae_unclassified","Slackia","Bacillales_unclassified","Butyricimonas","Peptoniphilus","Aneurinibacillus","Lactobacillus","Streptococcaceae_unclassified","Pelomonas","Anaerococcus","Leuconostoc","Methylocystis","Spirochaetaceae_unclassified","Bacillaceae_2_unclassified","Turicibacter","Clostridium_XlVa","Paenibacillus","Treponema","Brevibacillus","Atopobium","Clostridium_XlVb","Veillonella","Succinivibrio","Ruminococcaceae_unclassified","Mitsuokella","Microbacteriaceae_unclassified","Sutterella","Clostridium_XVIII","Escherichia_Shigella","Sarcina","Eggerthella","Cetobacterium","Lachnospiracea_incertae_sedis","Burkholderiales_incertae_sedis_unclassified","Fusobacteriaceae_unclassified","Clostridium_sensu_stricto","Akkermansia","Roseburia","Prevotellaceae_unclassified","Barnesiella","Megasphaera","Weissella","Dorea","Mogibacterium","Actinobacteria_unclassified","Enterococcaceae_unclassified","Catenibacterium","unknown_unclassified","Ruminococcus","Dialister","Alphaproteobacteria_unclassified","Streptococcus","Bacteroidetes_unclassified","Howardella","Megamonas","Enterobacteriaceae_unclassified","Butyrivibrio","Anaerobacter","Desulfovibrio","Enterococcus","Odoribacter","Campylobacter","Subdoligranulum","Pseudomonas","Cloacibacterium","Lactococcus","Bacteroides","Pseudoflavonifractor","Prevotella","Comamonas","Eubacteriaceae_unclassified","Granulicatella","Peptostreptococcaceae_unclassified","Streptophyta_unclassified","Butyricicoccus","Gemella","Proteobacteria_unclassified","Propionibacteriaceae_unclassified","Blautia","Propionibacterium","Bacteroidales_unclassified","Bacteria_unclassified","Clostridiales_unclassified","Oscillibacter","Comamonadaceae_unclassified","Clostridium_XI","Staphylococcus","Alistipes","TM7_genera_incertae_sedis_unclassified","Veillonellaceae_unclassified","Erysipelotrichaceae_unclassified","Parabacteroides","Actinomyces","Clostridiaceae_1_unclassified","Lachnospiraceae_unclassified","Bacilli_unclassified","Selenomonadales_unclassified","Bacillaceae_1_unclassified","Gammaproteobacteria_unclassified"
"M1",0,1,0,0,0,0,0,0,0,0,14,1,9,0,7,0,0,0,2,20,0,115,0,0,0,0,1,1,0,0,24,1,0,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,138,0,0,0,3,5,0,0,0,8,0,0,0,0,26,2,0,1,3,381,0,1,0,0,0,1635,54,0,1028,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,563,0,0,150,58,0,0,6,1,0,1,0,64,0,7,6,604,0,0,0,0
"M11",1,0,18,3,0,0,0,0,1,0,4,1,69,0,0,0,0,0,0,154,0,3178,0,0,0,3,0,118,11,0,30,0,0,0,0,0,0,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,624,7,0,0,0,0,49,11,0,70,0,0,49,0,2,131,1,0,0,18,0,6,0,6,0,1,779,0,1,16,7,0,0,0,2,0,2,0,0,1,0,0,0,10,0,41,1,0,0,21,0,0,0,0,0,67,0,9,372,284,0,0,821,0,2,0,38,1,0,1,23,98,0,0,0,0
"M12",1,0,107,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,180,0,997,0,0,0,2,0,133,9,0,11,4,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,659,8,0,0,0,0,10,3,0,7,0,0,0,0,3,88,0,0,0,23,0,17,0,30,0,144,779,0,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,1,0,0,0,1,0,0,0,82,0,19,655,2018,2,0,40,0,3,1,32,16,0,3,10,112,0,0,0,0
"M120",0,0,15,0,0,0,0,0,0,0,2,0,30,0,6,0,0,0,0,33,0,392,0,0,1,2,0,9,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,3,0,0,1,0,1136,0,0,0,0,0,207,0,0,1,0,0,1,0,2,173,0,0,1,17,0,3,0,19,1,12,304,0,98,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,43,0,3,55,24,0,0,248,0,0,0,7,1,0,0,156,65,1,1,0,0
"M122",0,0,102,0,0,0,0,0,0,0,1,0,47,0,3,0,0,0,1,47,0,274,1,0,0,0,0,28,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1,0,0,1,0,4089,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,4,26,2,0,0,23,0,46,6,0,16,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,42,0,3,0,0,124,0,0,145,84,0,0,54,0,0,0,0,9,0,0,36,225,0,0,0,0
"M123",0,4,9,0,0,0,0,0,0,0,1,0,20,2,1,0,0,0,0,12,0,965,2,0,0,3,0,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,3259,0,0,0,0,12,0,1,0,13,0,21,0,1,5,47,0,1,0,12,0,2,0,16,0,3,104,0,0,2,0,0,3,0,0,0,6,0,1,0,0,0,0,19,0,9,0,0,0,0,0,0,0,0,0,34,0,4,64,46,0,0,31,0,1,0,3,0,0,0,3,39,0,0,0,0
"M13",2,0,6,0,0,0,0,2,0,0,1,0,130,0,1,0,0,0,0,41,0,924,1,0,0,2,0,76,6,0,5,9,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,0,0,535,0,0,0,0,1,25,1,0,1,0,0,97,0,1,113,0,0,0,6,0,13,0,0,0,0,963,0,0,15,2,0,0,7,1,1,0,0,0,0,0,0,0,12,0,29,0,0,0,7,0,0,0,0,0,16,0,21,964,2352,0,0,286,0,2,0,58,2,0,1,18,84,0,0,0,0
"M14",0,0,27,0,0,0,0,0,0,1,0,1,130,0,3,0,0,0,0,100,0,111,0,0,0,0,2,189,15,0,10,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1346,0,0,0,0,114,0,1,0,7,0,0,0,0,2,0,0,1,0,279,2,8,0,9,0,3,1360,0,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,526,0,1,486,158,0,0,6,1,0,1,38,0,0,1,4,340,0,1,0,0
"M148",0,1,35,0,0,0,0,0,0,0,2,0,77,0,73,0,0,0,0,101,0,388,0,0,0,1,1,112,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,259,0,0,0,0,0,2,1,0,6,0,0,0,0,9,27,0,0,0,33,0,6,0,3,0,7,153,0,26,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,8,0,0,0,3,2,0,0,0,0,56,0,0,268,252,0,0,63,1,0,0,7,3,0,1,164,137,0,0,0,1
"M153",0,0,6,0,0,0,0,0,0,2,0,0,144,0,3,0,0,0,1,47,1,54,3,0,0,4,1,30,49,0,1,14,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,3723,0,0,0,0,3,0,0,0,1,0,0,0,0,0,5,0,0,5,2,3,4,0,16,1,71,7,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,45,0,0,151,89,0,0,51,1,0,0,0,0,0,1,7,482,0,0,0,0
