"","a_C026","a_C066","a_C070","a_C074","a_C075","a_C077","a_C079","a_C081","a_C082","a_C083","a_C084","a_C085","a_C086","a_C088","a_C089","a_C090","a_C091","a_C093","a_C095","a_C096","a_C098","a_C099","a_C100","a_C101","a_C102","a_C116","a_C125","a_C126","a_C127","a_C128","a_C130","a_C131","a_C132","a_C134","a_C136","a_C137","a_C139","a_C140","a_C141","a_C143","a_C144","a_C145","a_C146","a_C147","a_C149","a_C150","a_C151","a_C153","a_C154","a_C156","a_C157","a_C158","a_C159","a_C160","a_C161","a_C162"
"OTU_R0",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_R1",3,0,7,3,2,0,0,2,1,3,0,1,0,5,0,3,0,1,4,0,2,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,1,0,0,1,1,0,2,0,0,2,0,0,0,0,1,1,1,0,3,3
"OTU_R10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_R100",0,1,2,1,0,0,1,0,0,1,0,0,0,8,0,0,0,0,11,0,1,0,0,1,1,1,0,1,0,2,1,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
"OTU_R10000",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_R10003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_R10004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_R10006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"OTU_R10007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_R10008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
