Unc00a9i,Unc05bd1,Unc054vi,Unc01c0q,Unc91005,UncG3786,UncO8895,Unc64172,Unc00y95,Unc01505,UNGROUPED,1.1.1.157,1.1.1.35,1.1.1.37,1.1.1.58,1.15.1.1,1.16.3.2,1.2.1.12,1.4.1.2,1.4.1.3,2.1.2.1,2.2.1.1,2.3.1.29,2.3.1.9,2.6.1.52,2.7.2.1,2.7.2.3,2.7.7.6,2.7.7.8,2.7.9.1,3.6.3.14,4.1.1.49,4.1.2.13,4.2.1.11,5.1.3.3,5.2.1.8,5.3.1.1,5.3.1.12,5.3.1.25,5.3.1.5,5.3.1.9,5.4.2.12,6.3.2.6,6.3.4.4,6.3.5.5
11,1940,4788,1686,165,149,0,3845,706,481,4711,6,6,7,15,3,12,1,29,20,11,8,10,9,8,3,26,47,12,26,19,15,6,7,3,16,9,0,1,0,13,11,18,17,11
4,339,1118,4,3,21,308,0,120,4,2262,0,0,9,0,5,6,11,10,1,0,0,2,1,24,0,0,0,0,1,0,8,0,0,6,0,17,20,11,15,0,1,0,0,0
9,2783,1342,102,392,1484,183,3822,227,117,7819,10,10,34,4,16,24,9,39,17,24,3,28,20,23,7,67,91,26,28,31,82,7,16,4,38,18,8,3,56,24,12,22,18,9
0,34,24,0,3,33,0,25,0,0,3371,2,2,8,1,5,1,10,4,4,3,0,6,2,29,1,1,2,1,1,0,6,0,1,5,1,14,27,8,28,1,1,1,2,0
92,5263,3178,271,110,3,87,14,563,63,611,0,0,4,1,10,1,31,0,0,4,9,3,0,0,1,2,4,4,0,9,4,3,11,4,11,4,16,11,2,2,1,0,4,1
6,1057,281,71,430,10,101,1420,348,134,7759,19,15,14,13,12,13,6,27,42,19,5,16,19,16,13,70,102,17,46,52,75,7,18,2,17,24,6,4,9,18,9,27,22,16
8,7722,122,165,90,47,365,2117,437,217,5184,17,17,10,1,5,1,13,9,22,7,3,7,17,11,8,49,52,12,38,20,99,7,24,2,6,43,13,15,5,33,10,8,10,8
12,5721,30,79,2970,644,418,344,477,66,2230,5,5,18,4,7,3,2,12,2,10,5,6,5,8,0,11,17,8,11,7,30,2,11,1,9,8,0,0,1,4,2,2,8,2
25,2294,129,49,1981,342,150,1510,66,129,1387,3,3,4,1,2,0,22,0,0,0,0,0,3,10,1,1,3,0,5,0,9,1,13,4,1,9,10,6,16,6,1,3,2,0
6,3963,8111,182,596,244,217,3553,166,34,2486,2,2,9,5,6,7,6,16,8,2,1,8,2,7,3,5,10,0,12,4,15,3,3,6,3,10,6,3,26,4,6,8,4,1
