f__Bacteroidaceae,f__Ruminococcaceae,f__Lachnospiraceae,f__Enterobacteriaceae,f__Pasteurellaceae
4578,2158,576,9887,29
24538,16843,4741,295,38
22654,5043,5831,83,119
340,3,375,11,0
3916,1848,2738,59,138
10989,1581,4144,1713,15
5981,123,596,79,274
33141,95199,8823,11892,5490
3686,204,2176,3211,2356
1385,2008,1059,45,26
23967,3086,2081,119,674
2167,779,1040,192,1
22418,7474,6997,37292,300
5124,698,107,236,21086
145,21,111,8110,1026
55738,33401,6127,3625,7782
19322,98,766,2024,1703
11926,1480,1490,39,22
34055,3534,5347,16,1657
8382,1609,6031,13993,368
30092,9820,2421,9679,2261
12812,138,154,1309,4675
700,82,13,3,2736
128,217,49,986,151
22046,12130,9482,5579,221
1993,2344,6193,61,4
44939,40107,29563,651,8931
10446,1295,3244,817,478
39692,4611,2364,2629,49479
11568,9341,4689,58,51
22583,3982,2412,34465,66
21437,7484,11077,2500,546
10061,5630,2407,462,108
1739,805,674,14,139
26611,6940,8044,274,98
8603,2272,1077,323,180
9683,1546,2199,1680,528
14424,4628,8054,78,80
14174,5588,4181,7,18
14693,7351,2891,32,164
10081,4215,3463,10,257
2556,698,983,267,71
18387,3589,2933,3069,65
6887,1788,5293,1782,251
54183,48032,8792,2623,1298
25307,10834,4374,52,2085
2799,1552,912,187,33
29749,11318,15067,302,549
21672,2628,9630,9065,769
26881,5554,5717,49,343
33568,4788,13600,4928,613
12590,7639,4167,501,235
5420,1720,1860,2620,42
6294,3854,1974,10851,6414
902,762,606,0,37
414,471,393,4497,285
40055,5313,18023,165,169
165964,271012,43461,10816,13061
181,16,78,166,24
24252,14117,10455,21,39
11259,1814,2920,2037,262
18448,6777,3409,15,283
3704,2201,686,4452,10934
9390,12987,4708,197,564
3660,426,493,2143,16
5097,1099,619,19,1
32317,9285,4877,5390,72
21,5,11,3535,342
6700,1572,1481,9,59
14687,6440,3029,105,251
43855,106849,39166,56249,36928
72517,17500,9352,1436,12380
19210,9029,3136,2121,2512
4113,1758,1074,9635,5912
9875,2501,803,114,0
2166,732,204,12238,314
6395,1354,807,29,0
1606,2040,501,1127,23
15909,4343,3170,5331,455
3681,478,747,88,788
43960,3421,6288,15230,38
43293,10011,8038,10,25
7345,1575,1761,4621,347
6142,698,1274,26,17
26367,9281,5891,3087,1503
4,711,3761,118,465
7,0,2,3500,1
8343,1517,1354,1700,78
1131,76,558,17,105
9095,5345,3170,157,41
18506,7245,11535,961,264
304,27,56,10,21
20176,5859,5106,1665,1278
403,364,270,3,18
5362,6128,1197,22,1
84504,112663,31812,6641,241
161,261,170,4,18
14378,3632,190,13533,2810
7962,3444,1619,30,12
44267,706,18744,20,14
