K00024,K00041,K00074,K00134,K00239,K00262,K00600,K00626,K00927,K01006,K01610,K01689,K01803,K01805,K01810,K01812,K01939,K02355,K02357,K02358,K02863,K02867,K02878,K02879,K02881,K02886,K02890,K02931,K02935,K02982,K02986,K02992,K02994,K02996,K03040,K03043,K03046,K04043,K04077,K10117,K10200,K10439,K15633
7,13,8,4,10,81,8,8,13,20,9,5,6,0,9,0,14,27,21,44,5,12,2,6,7,4,5,14,10,11,5,9,6,7,10,17,13,35,45,15,7,2,8
9,0,0,11,12,13,0,1,0,1,7,0,17,15,0,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,4,0,5,0
34,4,18,23,14,86,11,19,13,25,43,5,11,56,16,7,14,49,15,143,15,16,5,8,6,12,7,16,14,18,18,21,9,18,12,36,26,77,93,15,36,4,6
8,1,2,10,5,16,2,1,0,1,4,0,13,28,0,27,2,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,2,1,0,0,3,0,7,3,2,1
4,1,0,31,5,1,4,0,2,0,4,9,4,2,2,16,4,6,2,12,3,8,6,1,0,3,1,3,1,2,3,0,0,1,0,1,3,4,5,0,0,1,1
14,11,23,24,29,102,5,18,16,43,25,5,10,9,10,5,15,62,15,123,7,15,5,10,4,4,3,19,15,7,13,36,23,6,13,27,26,26,46,17,18,4,8
10,1,22,33,26,65,1,15,10,34,37,3,16,5,13,13,5,22,6,67,7,8,4,3,7,3,4,8,12,6,12,8,10,7,4,12,18,37,57,26,25,4,6
18,4,5,2,8,22,5,5,5,10,21,9,7,1,3,0,8,11,13,28,3,10,6,5,3,7,5,6,6,2,6,6,7,6,2,8,6,23,15,4,6,0,2
4,1,3,34,0,4,0,2,1,5,6,3,9,16,4,10,0,2,0,3,2,0,3,0,0,0,0,4,0,0,1,0,0,3,0,1,2,2,3,29,3,11,1
9,5,2,7,4,35,2,2,2,8,10,0,10,26,4,6,2,7,4,17,3,7,3,1,1,1,1,5,2,6,3,1,2,2,1,2,4,6,4,28,5,4,5
6,6,9,10,4,46,1,8,7,12,3,1,3,16,7,8,5,9,4,6,2,7,2,0,7,1,0,4,1,9,1,1,2,5,2,2,1,7,9,20,3,0,7
13,1,11,10,2,59,0,6,0,25,37,1,33,28,2,20,5,10,6,25,8,10,2,3,4,0,3,11,6,15,4,8,4,7,2,7,2,28,30,36,26,25,7
6,7,28,62,11,74,10,17,20,30,24,6,10,9,18,2,12,55,11,119,9,13,9,5,8,12,7,17,29,11,12,31,15,11,16,25,21,101,121,6,7,0,5
10,1,2,10,4,17,0,5,0,7,18,0,25,23,3,22,0,5,0,4,3,0,0,1,1,0,1,2,0,1,2,0,1,3,0,1,1,4,1,24,17,11,2
22,0,0,6,7,25,1,0,2,0,31,12,8,4,2,1,6,10,3,33,3,11,5,3,0,2,3,0,1,0,5,3,3,2,1,3,6,23,29,0,0,6,1
12,14,28,33,10,47,2,16,26,42,46,18,15,9,4,1,17,44,17,85,8,11,4,6,2,13,3,13,6,5,9,26,13,5,2,10,5,36,53,27,40,4,4
