Actinomyces,Actinobaculum,Alloprevotella,Catonella,Atopobium,Alistipes,Bacteroides,Incertae_Sedis,Bifidobacterium,Scardovia,Blautia,Capnocytophaga,Campylobacter,Corynebacterium,Enterococcus,Johnsonella,Fretibacterium,Lactobacillus,Stomatobaculum,Leptotrichia,Mycoplasma,Megasphaera,Mogibacterium,Methylobacterium,Oribacterium,Olsenella,Peptoniphilus,Phocaeicola,Porphyromonas,Prevotella,Pseudomonas,Parvimonas,Selenomonas,Sphingobium,Streptococcus,Shuttleworthia,Treponema,Solobacterium,Akkermansia,Lachnoanaerobaculum,Fusobacterium,Escherichia_Shigella,Peptostreptococcus,Neisseria,Bergeyella,Lautropia,Dialister,Kingella,Paludibacter,Veillonella,Abiotrophia,Tannerella,Haemophilus,Xanthomonas,Gemella,Delftia,Tumebacillus,Lactococcus,Anaerococcus,Enterobacter,Rothia,Staphylococcus
681,0,510,520,6,1,2,108,0,0,0,84,388,69,335,162,34,0,320,1551,48,1,35,0,531,0,0,2,1342,1676,0,486,37,0,2634,2,166,21,0,248,6524,3,11,597,8,0,63,5,23,192,2,207,143,0,300,0,6,2,0,0,1623,3
363,2,501,4,54,0,0,51,0,0,0,214,602,27,970,1,13,2,22,127,1,100,12,0,37,1,0,0,95,5859,0,84,383,0,5698,1,59,30,3,6,1159,0,6,187,55,2,119,2,30,1205,7,8,673,0,301,0,0,0,0,0,3023,18
71,0,37,1,17,386,3373,4924,505,0,731,6,38,124,538,0,2,1873,0,1,100,14,7,2,5,9,5,35,153,322,66,0,5,76,512,1,75,0,1953,2,4584,6532,5,159,2,690,320,12,74,366,2,19,430,423,13,80,12,96,58,4953,40,2388
504,4,7,0,31,2,0,5,0,4,15,29,191,15,178,0,0,7,11,173,0,4,3,0,18,0,0,0,0,443,0,5,27,0,4408,8,0,0,0,23,12,1,0,0,13,0,1,0,0,1094,0,0,830,16,1301,0,0,4,0,2,4235,3
2651,13,1,0,1,0,1,1,0,2,1,0,747,126,3,0,0,2,0,1,0,1,0,0,19,0,0,0,0,121,0,12,99,62,251,0,236,0,0,0,182,1,0,18036,0,21544,0,0,24,20463,30,61,255,0,1,24,0,1,0,73,350,1
23,0,29,1,0,0,1,0,0,0,0,41,6,6,8,0,0,1,0,22,0,0,0,0,0,0,0,0,128,67,0,0,0,0,5044,0,0,0,0,0,61,0,0,1101,198,45,0,19,0,137,4,0,7482,0,3773,0,0,0,0,0,81,3
2866,0,726,118,232,1,24,204,2,10,1,3939,1233,266,1369,50,133,2,267,2543,26,11,70,0,367,18,0,0,1020,4232,7,30,333,6,14691,1,125,4,0,653,1456,6,112,90,757,204,178,340,19,5892,16,360,6564,54,1440,5,0,3,0,12,6233,62
784,6,8,0,0,0,0,1,0,18,0,0,0,2,300,0,0,101,0,8,0,0,0,1,0,0,0,0,6,0,8,0,0,0,4641,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,3773,0,219,0,0,2326,6,0,2363,10
471,6,0,0,3,0,0,0,0,3,2,120,6,6,29,0,0,9,0,128,0,0,0,0,0,0,0,0,43,105,4,0,0,3,16331,0,0,0,0,0,7,1,0,0,29,1,1,0,0,5,0,0,0,0,597,1,0,2,0,0,253,10
151,8,598,16,40,0,1,189,3,0,17,46,292,8,25,29,22,30,7,615,409,10,80,0,38,3,0,0,747,2646,4,189,37,0,8524,8,269,15,11,42,2766,0,113,653,67,46,230,12,203,752,27,173,2000,0,311,0,0,0,0,0,19,6
