# of Samples,Mean Squared Error,ymin,ymax,Algorithm
289,1.6265676350057499,1.563776967617989,1.6893583023935106,Pearson Correlation T2
269,1.0062532476831936,0.9667348380789779,1.0457716572874107,Pearson Correlation T2
249,1.0136727314686313,0.9744104010066136,1.0529350619306472,Pearson Correlation T2
229,1.0276316317711438,0.9887185569922232,1.066544706550066,Pearson Correlation T2
209,1.0760968336763117,1.036497892445902,1.1156957749067233,Pearson Correlation T2
189,1.1201979052442537,1.0796359033870186,1.1607599071014898,Pearson Correlation T2
169,1.1192884296432886,1.0777676647738257,1.16080919451275,Pearson Correlation T2
149,1.1070388145032428,1.0632639082009376,1.1508137208055487,Pearson Correlation T2
129,1.0643314427783808,1.0196789285991044,1.1089839569576572,Pearson Correlation T2
109,1.1228059486257405,1.0771430517080014,1.1684688455434828,Pearson Correlation T2
89,1.266305139064326,1.2198515437031612,1.3127587344254907,Pearson Correlation T2
69,1.348132517061038,1.2907240261146096,1.4055410080074637,Pearson Correlation T2
49,1.6420232135123827,1.5744980091040317,1.709548417920733,Pearson Correlation T2
29,2.8754014903466643,2.786101240042558,2.9647017406507645,Pearson Correlation T2
