test_error,# of Samples,Index of Predicted Column,Algorithm,algorithm
0.17253054033459356,288,0,Pearson Correlation,LassoCV
0.1805775155780542,268,0,Pearson Correlation,LassoCV
0.19928603203542816,248,0,Pearson Correlation,LassoCV
0.21780702899579588,228,0,Pearson Correlation,LassoCV
0.20327597967751124,208,0,Pearson Correlation,LassoCV
0.18599407354454459,188,0,Pearson Correlation,LassoCV
0.16981681582091693,168,0,Pearson Correlation,LassoCV
0.15856406764489425,148,0,Pearson Correlation,LassoCV
0.18589657357339726,128,0,Pearson Correlation,LassoCV
0.26059109986482837,108,0,Pearson Correlation,LassoCV
0.29013338035375064,88,0,Pearson Correlation,LassoCV
0.31574798058282477,68,0,Pearson Correlation,LassoCV
0.5050000711944564,48,0,Pearson Correlation,LassoCV
0.7017690605234949,28,0,Pearson Correlation,LassoCV
0.2166555811884121,288,1,Pearson Correlation,LassoCV
0.24359331027628928,268,1,Pearson Correlation,LassoCV
0.22709799163044783,248,1,Pearson Correlation,LassoCV
0.2238127756329212,228,1,Pearson Correlation,LassoCV
0.30404948022110395,208,1,Pearson Correlation,LassoCV
0.25152241885021653,188,1,Pearson Correlation,LassoCV
0.2350217113014431,168,1,Pearson Correlation,LassoCV
0.27602010697659574,148,1,Pearson Correlation,LassoCV
0.29650969555779727,128,1,Pearson Correlation,LassoCV
0.2763386994198651,108,1,Pearson Correlation,LassoCV
0.3237454071328847,88,1,Pearson Correlation,LassoCV
0.2871409508997421,68,1,Pearson Correlation,LassoCV
0.34703360523604515,48,1,Pearson Correlation,LassoCV
0.29248108179124355,28,1,Pearson Correlation,LassoCV
0.4444277468120756,288,2,Pearson Correlation,LassoCV
0.45338857557779355,268,2,Pearson Correlation,LassoCV
0.46445598623536277,248,2,Pearson Correlation,LassoCV
0.4758086313741912,228,2,Pearson Correlation,LassoCV
0.5032030235274177,208,2,Pearson Correlation,LassoCV
0.5044625155308579,188,2,Pearson Correlation,LassoCV
0.4792695228593102,168,2,Pearson Correlation,LassoCV
0.49302598411484405,148,2,Pearson Correlation,LassoCV
0.5089654422570499,128,2,Pearson Correlation,LassoCV
0.49628748919991955,108,2,Pearson Correlation,LassoCV
0.46534363040180676,88,2,Pearson Correlation,LassoCV
0.44494579912518883,68,2,Pearson Correlation,LassoCV
0.41321671958272205,48,2,Pearson Correlation,LassoCV
0.6751663835488143,28,2,Pearson Correlation,LassoCV
0.4549815432208577,288,3,Pearson Correlation,LassoCV
0.41589663639186086,268,3,Pearson Correlation,LassoCV
0.4331266052668233,248,3,Pearson Correlation,LassoCV
0.46506495374150836,228,3,Pearson Correlation,LassoCV
0.4827806761128757,208,3,Pearson Correlation,LassoCV
0.42652447947381095,188,3,Pearson Correlation,LassoCV
0.42973509652020336,168,3,Pearson Correlation,LassoCV
0.45210538284316687,148,3,Pearson Correlation,LassoCV
0.6531975044075641,128,3,Pearson Correlation,LassoCV
0.5902667884177716,108,3,Pearson Correlation,LassoCV
0.5790185655905108,88,3,Pearson Correlation,LassoCV
0.61036254179763,68,3,Pearson Correlation,LassoCV
0.6038880748471486,48,3,Pearson Correlation,LassoCV
0.5262913388656104,28,3,Pearson Correlation,LassoCV
0.07518147267813967,288,4,Pearson Correlation,LassoCV
0.08156310168789895,268,4,Pearson Correlation,LassoCV
0.08670399341915465,248,4,Pearson Correlation,LassoCV
0.08323457691206519,228,4,Pearson Correlation,LassoCV
0.0909651395369417,208,4,Pearson Correlation,LassoCV
0.09587643806055973,188,4,Pearson Correlation,LassoCV
0.09859154613318992,168,4,Pearson Correlation,LassoCV
0.10634775853199933,148,4,Pearson Correlation,LassoCV
0.11565559820015348,128,4,Pearson Correlation,LassoCV
0.1199405266225249,108,4,Pearson Correlation,LassoCV
0.12516464695934282,88,4,Pearson Correlation,LassoCV
0.13499921478951915,68,4,Pearson Correlation,LassoCV
0.1437821039069522,48,4,Pearson Correlation,LassoCV
0.11123385623044842,28,4,Pearson Correlation,LassoCV
0.32082571621334227,288,5,Pearson Correlation,LassoCV
0.46064114794917277,268,5,Pearson Correlation,LassoCV
0.4524164034199532,248,5,Pearson Correlation,LassoCV
0.4903869331899828,228,5,Pearson Correlation,LassoCV
0.5177638055136998,208,5,Pearson Correlation,LassoCV
0.4752133953034237,188,5,Pearson Correlation,LassoCV
0.52418962779704,168,5,Pearson Correlation,LassoCV
0.48666835664359853,148,5,Pearson Correlation,LassoCV
0.4845733956302118,128,5,Pearson Correlation,LassoCV
0.5057939067628052,108,5,Pearson Correlation,LassoCV
0.5018261390573523,88,5,Pearson Correlation,LassoCV
0.5837723878728259,68,5,Pearson Correlation,LassoCV
0.5511271679017872,48,5,Pearson Correlation,LassoCV
0.6412522405262756,28,5,Pearson Correlation,LassoCV
0.4612600055196496,288,6,Pearson Correlation,LassoCV
0.4660709948177429,268,6,Pearson Correlation,LassoCV
0.448677541561264,248,6,Pearson Correlation,LassoCV
0.4471685693929988,228,6,Pearson Correlation,LassoCV
0.44782744696035987,208,6,Pearson Correlation,LassoCV
0.4223949748238165,188,6,Pearson Correlation,LassoCV
0.4607688583801135,168,6,Pearson Correlation,LassoCV
0.45206233201024953,148,6,Pearson Correlation,LassoCV
0.4543696614312313,128,6,Pearson Correlation,LassoCV
0.4623373409005396,108,6,Pearson Correlation,LassoCV
0.5095993267167339,88,6,Pearson Correlation,LassoCV
0.5191750298933752,68,6,Pearson Correlation,LassoCV
0.5252888303261556,48,6,Pearson Correlation,LassoCV
0.5211237853739531,28,6,Pearson Correlation,LassoCV
0.31428124667807594,288,7,Pearson Correlation,LassoCV
0.30861635261644244,268,7,Pearson Correlation,LassoCV
0.3013268128804267,248,7,Pearson Correlation,LassoCV
0.31260511219808146,228,7,Pearson Correlation,LassoCV
0.3141139158192176,208,7,Pearson Correlation,LassoCV
0.32476979651173826,188,7,Pearson Correlation,LassoCV
0.3298365010456634,168,7,Pearson Correlation,LassoCV
0.33341983103393796,148,7,Pearson Correlation,LassoCV
0.3164024299326557,128,7,Pearson Correlation,LassoCV
0.29792484424674925,108,7,Pearson Correlation,LassoCV
0.2865477557432542,88,7,Pearson Correlation,LassoCV
0.5802192747643858,68,7,Pearson Correlation,LassoCV
0.6070557583983135,48,7,Pearson Correlation,LassoCV
0.4415131499720652,28,7,Pearson Correlation,LassoCV
0.6048322855989845,288,8,Pearson Correlation,LassoCV
0.6064624564467163,268,8,Pearson Correlation,LassoCV
0.6707158160902694,248,8,Pearson Correlation,LassoCV
0.6697640458504227,228,8,Pearson Correlation,LassoCV
0.6560868307792618,208,8,Pearson Correlation,LassoCV
0.6405866373236532,188,8,Pearson Correlation,LassoCV
0.6318149509666106,168,8,Pearson Correlation,LassoCV
0.6117137836570827,148,8,Pearson Correlation,LassoCV
0.5830998030567772,128,8,Pearson Correlation,LassoCV
0.5606447003427215,108,8,Pearson Correlation,LassoCV
0.5667050832546701,88,8,Pearson Correlation,LassoCV
0.5667208173529459,68,8,Pearson Correlation,LassoCV
0.5751439406203701,48,8,Pearson Correlation,LassoCV
0.6979564717654331,28,8,Pearson Correlation,LassoCV
0.29996599058544193,288,9,Pearson Correlation,LassoCV
0.360339938066117,268,9,Pearson Correlation,LassoCV
0.31867136730109724,248,9,Pearson Correlation,LassoCV
0.3105455464109517,228,9,Pearson Correlation,LassoCV
0.3279169203577233,208,9,Pearson Correlation,LassoCV
0.31719076151159137,188,9,Pearson Correlation,LassoCV
0.3175663802691137,168,9,Pearson Correlation,LassoCV
0.28335589916822035,148,9,Pearson Correlation,LassoCV
0.26374876971840217,128,9,Pearson Correlation,LassoCV
0.2583394594790074,108,9,Pearson Correlation,LassoCV
0.25852230046510155,88,9,Pearson Correlation,LassoCV
0.27958783299569256,68,9,Pearson Correlation,LassoCV
0.27612258221761654,48,9,Pearson Correlation,LassoCV
0.7675278592853513,28,9,Pearson Correlation,LassoCV
0.3720837708646318,288,10,Pearson Correlation,LassoCV
0.4004050521813723,268,10,Pearson Correlation,LassoCV
0.4049544437103762,248,10,Pearson Correlation,LassoCV
0.40644741756768926,228,10,Pearson Correlation,LassoCV
0.4211198234140057,208,10,Pearson Correlation,LassoCV
0.4682644908235281,188,10,Pearson Correlation,LassoCV
0.4658694271257054,168,10,Pearson Correlation,LassoCV
0.4981658434763616,148,10,Pearson Correlation,LassoCV
0.49470556795127907,128,10,Pearson Correlation,LassoCV
0.5589784428393192,108,10,Pearson Correlation,LassoCV
0.5540748101630334,88,10,Pearson Correlation,LassoCV
0.6244186418795533,68,10,Pearson Correlation,LassoCV
0.39178276776429605,48,10,Pearson Correlation,LassoCV
0.4995556102660513,28,10,Pearson Correlation,LassoCV
0.11678557705320407,288,11,Pearson Correlation,LassoCV
0.29899565704955594,268,11,Pearson Correlation,LassoCV
0.2906190030680395,248,11,Pearson Correlation,LassoCV
0.25899514724990985,228,11,Pearson Correlation,LassoCV
