Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.1919277857002666,1.7439260766772702,288,100,Pearson Correlation,American Gut
1.2552566584913019,1.8816955199275012,288,100,Pearson Correlation,American Gut
1.267190695610103,1.9086203683436527,288,100,Pearson Correlation,American Gut
1.2798976824547323,1.9384967469094516,288,100,Pearson Correlation,American Gut
1.3112486784804294,2.0100080407862517,288,100,Pearson Correlation,American Gut
1.3085094908600978,2.0038196437903517,288,100,Pearson Correlation,American Gut
1.3083426262609619,2.003819269452011,288,100,Pearson Correlation,American Gut
1.310116095730981,2.0084341020025516,288,100,Pearson Correlation,American Gut
1.3126269967878943,2.0147292374342696,288,100,Pearson Correlation,American Gut
1.2855378155740373,1.9408619671044027,288,100,Pearson Correlation,American Gut
1.2878824726766445,1.9474148754412042,288,100,Pearson Correlation,American Gut
1.2909882837959614,1.9555780179849787,288,100,Pearson Correlation,American Gut
1.2812538950094439,1.9328083938873302,288,100,Pearson Correlation,American Gut
1.280582863088736,1.9318185996926864,288,100,Pearson Correlation,American Gut
1.2818532473102655,1.9354947300583558,288,100,Pearson Correlation,American Gut
1.284980742256588,1.9433771125336352,288,100,Pearson Correlation,American Gut
1.277160908003027,1.9245097150615469,288,100,Pearson Correlation,American Gut
1.2774383392711168,1.9257050260939477,288,100,Pearson Correlation,American Gut
1.279379751164368,1.9306814050070515,288,100,Pearson Correlation,American Gut
1.2746366970578127,1.9191357730197223,288,100,Pearson Correlation,American Gut
1.2747998116977675,1.919882662254911,288,100,Pearson Correlation,American Gut
1.274359236074256,1.9191235539071458,288,100,Pearson Correlation,American Gut
1.2781938478668335,1.928027678678246,288,100,Pearson Correlation,American Gut
1.275906560114639,1.9226814467416833,288,100,Pearson Correlation,American Gut
1.2765529482736804,1.9244967070755372,288,100,Pearson Correlation,American Gut
1.2732034590034675,1.916844027709129,288,100,Pearson Correlation,American Gut
1.2753474404589884,1.9220634937925238,288,100,Pearson Correlation,American Gut
1.2705669547676886,1.909651404994572,288,100,Pearson Correlation,American Gut
1.2740479910687565,1.917784020967674,288,100,Pearson Correlation,American Gut
1.2754058392989007,1.9212192601359424,288,100,Pearson Correlation,American Gut
1.273721806581362,1.9173616427384101,288,100,Pearson Correlation,American Gut
1.275733967841187,1.9222286648601512,288,100,Pearson Correlation,American Gut
1.2727245950483133,1.914729528288819,288,100,Pearson Correlation,American Gut
1.2726980422446894,1.9148702133380975,288,100,Pearson Correlation,American Gut
1.2694132466693082,1.907111723422516,288,100,Pearson Correlation,American Gut
1.271658078671682,1.9124306456494722,288,100,Pearson Correlation,American Gut
1.272340549628504,1.9142385895329659,288,100,Pearson Correlation,American Gut
1.2755359409935667,1.9215589369503019,288,100,Pearson Correlation,American Gut
1.2740308479625833,1.9180366998279927,288,100,Pearson Correlation,American Gut
1.2749717205249047,1.9204244067258973,288,100,Pearson Correlation,American Gut
1.273437251877776,1.9171400202215056,288,100,Pearson Correlation,American Gut
1.2741715116025407,1.9190229217598984,288,100,Pearson Correlation,American Gut
1.2681550255851266,1.9031719248333288,288,100,Pearson Correlation,American Gut
1.272066118053184,1.911828605982566,288,100,Pearson Correlation,American Gut
1.2660068620031442,1.8962927067259991,288,100,Pearson Correlation,American Gut
1.2697791023796483,1.9046638435289571,288,100,Pearson Correlation,American Gut
1.2702636244358017,1.9060533867935188,288,100,Pearson Correlation,American Gut
1.2724018171905445,1.9111261938203323,288,100,Pearson Correlation,American Gut
1.2724545397294105,1.911485882730514,288,100,Pearson Correlation,American Gut
1.2739504413495466,1.9151104068915474,288,100,Pearson Correlation,American Gut
1.2749000149921443,1.9175348055502681,288,100,Pearson Correlation,American Gut
1.276300308953981,1.9209742277844373,288,100,Pearson Correlation,American Gut
1.2744623347214885,1.9165103828538632,288,100,Pearson Correlation,American Gut
1.2756690344877462,1.919528516852119,288,100,Pearson Correlation,American Gut
1.274672147210417,1.9172879785792785,288,100,Pearson Correlation,American Gut
1.2753544971603281,1.9190740116706877,288,100,Pearson Correlation,American Gut
1.2753939182448895,1.9193428340497778,288,100,Pearson Correlation,American Gut
1.2734828588894131,1.9148459063849046,288,100,Pearson Correlation,American Gut
1.2715716384847875,1.9102416497874823,288,100,Pearson Correlation,American Gut
1.2719243919411087,1.9112501317624941,288,100,Pearson Correlation,American Gut
1.2709859369309504,1.9090833824896087,288,100,Pearson Correlation,American Gut
1.271669376231153,1.9108424758634566,288,100,Pearson Correlation,American Gut
1.2693188949189715,1.9046755899519425,288,100,Pearson Correlation,American Gut
1.2696806777425738,1.9056846094161068,288,100,Pearson Correlation,American Gut
1.2695928300741275,1.9056320676745326,288,100,Pearson Correlation,American Gut
1.2681732403177346,1.9023444049154523,288,100,Pearson Correlation,American Gut
1.2693870176731554,1.9052814260779296,288,100,Pearson Correlation,American Gut
1.2701228287821038,1.9071450693267746,288,100,Pearson Correlation,American Gut
1.2703560258241042,1.9078574430190496,288,100,Pearson Correlation,American Gut
1.2695319794675362,1.9058942059281807,288,100,Pearson Correlation,American Gut
1.2678371157118973,1.9017415885174493,288,100,Pearson Correlation,American Gut
1.266955717868616,1.899726123232278,288,100,Pearson Correlation,American Gut
1.2678794765679404,1.9019798328660156,288,100,Pearson Correlation,American Gut
1.2687538488843677,1.9041116645395917,288,100,Pearson Correlation,American Gut
1.2691404351222,1.9051394076294785,288,100,Pearson Correlation,American Gut
1.2713447180814532,1.9100539047118152,288,100,Pearson Correlation,American Gut
1.270962189103021,1.9092853605636282,288,100,Pearson Correlation,American Gut
1.2709143075068505,1.9093194072204014,288,100,Pearson Correlation,American Gut
1.2706621296736802,1.9087757091773168,288,100,Pearson Correlation,American Gut
1.2700429139194835,1.9073181973272115,288,100,Pearson Correlation,American Gut
1.2669696323359156,1.8990918464204067,288,100,Pearson Correlation,American Gut
1.2678397923689024,1.9012264676171056,288,100,Pearson Correlation,American Gut
1.268472583842562,1.902825988630254,288,100,Pearson Correlation,American Gut
1.2691020098130261,1.9044197451756903,288,100,Pearson Correlation,American Gut
1.2690499355638059,1.9043835213545401,288,100,Pearson Correlation,American Gut
1.2677812969778581,1.901274807084906,288,100,Pearson Correlation,American Gut
1.2684785203788538,1.9029998228920941,288,100,Pearson Correlation,American Gut
1.2692189228586794,1.904815564746824,288,100,Pearson Correlation,American Gut
1.2684688469775776,1.9031394666054098,288,100,Pearson Correlation,American Gut
1.2703617409853305,1.9074313621559982,288,100,Pearson Correlation,American Gut
1.2708599903596196,1.908699875564138,288,100,Pearson Correlation,American Gut
1.2707526499061343,1.9085366376095765,288,100,Pearson Correlation,American Gut
1.2709227661841143,1.909033782554973,288,100,Pearson Correlation,American Gut
1.2709337530250293,1.9091436408153466,288,100,Pearson Correlation,American Gut
1.2713824314450781,1.9102783861773271,288,100,Pearson Correlation,American Gut
