# of Samples,Mean Squared Error,ymin,ymax,Algorithm
289,0.975951572752761,0.9122554488264947,1.0396476966790265,Pearson Correlation
269,0.9733494958682062,0.9329075735258463,1.0137914182105667,Pearson Correlation
249,0.9780242515993174,0.9385282087033766,1.0175202944952575,Pearson Correlation
229,0.9926293997322985,0.9528631063294658,1.0323956931351315,Pearson Correlation
209,1.034915633313108,0.9954114284745578,1.0744198381516592,Pearson Correlation
189,1.0689816365966405,1.029040849802763,1.1089224233905195,Pearson Correlation
169,1.0730679263347775,1.0327459668844925,1.1133898857850615,Pearson Correlation
149,1.0494254686171196,1.0049810648814919,1.0938698723527502,Pearson Correlation
129,0.9894137357190781,0.9437440037778555,1.0350834676602987,Pearson Correlation
109,1.012178775592785,0.9683334069546718,1.0560241442308975,Pearson Correlation
89,1.1000905578514968,1.0496245858035262,1.1505565298994673,Pearson Correlation
69,1.0380744771560235,0.9906542831559674,1.0854946711560778,Pearson Correlation
49,1.2264950054371906,1.1585863405901877,1.2944036702841921,Pearson Correlation
29,1.430956849223846,1.3273533571322989,1.5345603413153939,Pearson Correlation
