# of Samples,Mean Squared Error,ymin,ymax,Algorithm
289,1.0090959104064383,1.0090959104064383,1.0090959104064383,Featureless
269,1.0076205406472043,1.0076205406472043,1.0076205406472043,Featureless
249,1.0114997971323016,1.0114997971323016,1.0114997971323016,Featureless
229,1.0261291980739122,1.0261291980739122,1.0261291980739122,Featureless
209,1.0685866313259622,1.0685866313259622,1.0685866313259622,Featureless
189,1.1023891943072262,1.1023891943072262,1.1023891943072262,Featureless
169,1.110107449521693,1.110107449521693,1.110107449521693,Featureless
149,1.0836946771148233,1.0836946771148233,1.0836946771148233,Featureless
129,1.0233692968318628,1.0233692968318628,1.0233692968318628,Featureless
109,1.0434406643081184,1.0434406643081184,1.0434406643081184,Featureless
89,1.1340082994201117,1.1340082994201117,1.1340082994201122,Featureless
69,1.068133873728499,1.068133873728499,1.0681338737284993,Featureless
49,1.2600362059695613,1.2600362059695613,1.2600362059695613,Featureless
29,1.4361646602192992,1.4361646602192992,1.4361646602192992,Featureless
