# of Samples,Mean Squared Error,ymin,ymax,Algorithm
289,0.7752991413970236,0.35365613400824325,1.1969421487858038,LassoCV
269,0.8138214765523061,0.39437490053730145,1.2332680525673125,LassoCV
249,0.7788255811002454,0.377736827152968,1.1799143350475236,LassoCV
229,0.794849828715336,0.3927296316663388,1.1969700257643334,LassoCV
209,0.8555621394809166,0.45848696700715574,1.252637311954679,LassoCV
189,0.8942373648965735,0.49058995525462473,1.29788477453852,LassoCV
169,0.8736078280931455,0.47669986887280513,1.2705157873134867,LassoCV
149,0.9715353964629515,0.5590303026598291,1.3840404902660737,LassoCV
129,0.8933446244593155,0.5016923721782568,1.2849968767403743,LassoCV
109,0.9306209372759171,0.5617365689737737,1.2995053055780612,LassoCV
89,1.075606486968569,0.6929807109763714,1.458232262960768,LassoCV
69,0.927658699730121,0.6055891941191186,1.2497282053411238,LassoCV
49,1.182469427679038,0.8622793124644763,1.5026595428936,LassoCV
29,1.4103558617467749,1.1271854728811932,1.6935262506123567,LassoCV
